"model_id","name","north","south","east","west","lat","lng","scale","rotate","gps_mapping","color","zone_id"
"111","Robert Purcell Community Center","42.456275939941406","42.45556640625","-76.47703552246094","-76.47795104980469","42.4559211730957","-76.47749328613281","0","0",,"ff0000","23"
"112","Malott Hall","42.44843292236328","42.44774627685547","-76.4798355102539","-76.4806137084961","42.448089599609375","-76.480224609375","0","0",,"ff0000","23"
"113","Kane Hall","47.6570014954","47.6561012268","-122.3079986572","-122.3099975586","47.656551361083984","-122.30899810791016","0","0",,"ff0000","22"
"114","Mary Gates Hall","47.655372619628906","47.654258728027344","-122.30699157714844","-122.30862426757812","47.654815673828125","-122.30780792236328","0","0",,"ff0000","22"
"115","Smith Hall","47.65706253051758","47.656036376953125","-122.30656433105469","-122.30834197998047","47.656551361083984","-122.30745697021484","0","0",,"ff0000","22"
"116","Odegaard","47.6569900513","47.6559638977","-122.3096542358","-122.3111343384","47.65647888183594","-122.31039428710938","0","0",,"ff0000","22"
"117","Gerberding Hall","47.65554428100586","47.655113220214844","-122.30889892578125","-122.3099365234375","47.65532684326172","-122.30941772460938","0","0",,"ff0000","22"
"118","Suzzallo","47.65610122680664","47.655399322509766","-122.30799865722656","-122.30899810791016","47.6557502746582","-122.30850219726562","0","0",,"ff0000","22"
"120","Guggenheim","47.654701232910156","47.65390396118164","-122.30535125732422","-122.30674743652344","47.654300689697266","-122.30604553222656","0","0",,"ff0000","22"
"122","Husky Union Building","47.65566635131836","47.65486526489258","-122.3048095703125","-122.30621337890625","47.65526580810547","-122.30551147460938","0","0",,"ff0000","22"
"123","Theodor Jacobsen Observatory","47.66077423095703","47.65997314453125","-122.30854797363281","-122.30995178222656","47.66037368774414","-122.30924987792969","0","0",,"ff0000","22"
"124","Husky Stadium","47.65110397338867","47.65030288696289","-122.30249786376953","-122.30389404296875","47.65070343017578","-122.30319213867188","0","0",,"ff0000","22"
"125","More Hall","47.65299987792969","47.652034759521484","-122.30408477783203","-122.30561065673828","47.65251541137695","-122.30484771728516","0","0",,"ff0000","22"
"126","More Hall Annex","47.65300369262695","47.65257263183594","-122.30415344238281","-122.3048095703125","47.65279006958008","-122.30448150634766","0","0",,"ff0000","22"
"127","Mueller Hall","47.65264129638672","47.65193176269531","-122.30506134033203","-122.30611419677734","47.652286529541016","-122.30558776855469","0","0",,"ff0000","22"
"128","Botany Green House","47.652713775634766","47.65193557739258","-122.3094253540039","-122.31057739257812","47.65232467651367","-122.31000518798828","0","0",,"ff0000","22"
"129","Benson Hall","47.653358459472656","47.652774810791016","-122.30902862548828","-122.30994415283203","47.6530647277832","-122.30948638916016","0","0",,"ff0000","22"
"130","Bagley Hall","47.65407180786133","47.65289306640625","-122.30802154541016","-122.30957794189453","47.653480529785156","-122.30879974365234","0","0",,"ff0000","22"
"131","Schmitz Hall","47.65682601928711","47.65529251098633","-122.31202697753906","-122.3132553100586","47.65605926513672","-122.3126449584961","0","0",,"ff0000","22"
"132","Myron Taylor Hall","42.44461441040039","42.44346618652344","-76.48538970947266","-76.48697662353516","42.44404220581055","-76.4861831665039","0","0",,"ff0000","23"
"133","Duffield Hall","42.44513702392578","42.44400405883789","-76.48158264160156","-76.48320007324219","42.44457244873047","-76.48239135742188","0","0",,"ff0000","23"
"134","Barnes Hall","42.4467010498","42.4462013245","-76.4839019775","-76.4849014282","42.446449279785156","-76.4843978881836","0","0",,"ff0000","23"
"135","Sage Chapel","42.4474983215","42.4469985962","-76.4840011597","-76.4850006104","42.44725036621094","-76.4844970703125","0","0",,"ff0000","23"
"136","Willard Straight Hall","42.4468994141","42.4462013245","-76.4852981567","-76.4861984253","42.44654846191406","-76.48574829101562","0","0",,"ff0000","23"
"137","308 Wait Avenue Cooperative","42.4544991088867","42.4541007446289","-76.4803000854492","-76.4807976318359","42.45429992675781","-76.48055267333984","0","0",,"ff0000","23"
"138","Parrington Hall","47.657867431640625","47.65711975097656","-122.30974578857422","-122.31080627441406","47.657493591308594","-122.31027221679688","0","0",,"ff0000","22"
"139","Burke Museum","47.66104507446289","47.65986251831055","-122.3099136352539","-122.31159210205078","47.66045379638672","-122.31075286865234","0","0",,"ff0000","22"
"140","Hughes Penthouse Theatre","47.6609992980957","47.66038131713867","-122.30768585205078","-122.30859375","47.66069030761719","-122.30813598632812","0","0",,"ff0000","22"
"141","Roberts Hall","47.6522750854","47.6518325806","-122.3048629761","-122.3053894043","47.65205383300781","-122.30513000488281","0","0",,"ff0000","22"
"142","School of Music","47.65812683105469","47.65732955932617","-122.30528259277344","-122.30668640136719","47.6577262878418","-122.30598449707031","0","0",,"ff0000","22"
