"flag_id","model_id","latitude","longitude","omit","winning_team_id","winning_player_id","team1","team2","team3","team4","disputed","snapshot_id","collectable","collector"
"145","30","47.65436572257052","-122.30787133251432","0","4","0","0","284","17383","18152","0","0","0","0"
"146","31","47.65540160781419","-122.30872159778184","0","4","0","0","138","13382","47504","0","0","0","0"
"147","6","47.653438636842495","-122.30670190577831","0","3","0","9148","220","44955","233","0","0","0","0"
"148","6","47.65348881963962","-122.30653382927565","0","3","0","2455","163","17780","285","0","0","0","0"
"149","10","47.65550082552186","-122.31212714441489","0","3","0","0","0","5259","2447","0","0","0","0"
"150","10","47.65536437805526","-122.3121119715418","0","3","0","0","0","3368","2357","0","0","0","0"
"151","10","47.65600968592123","-122.31261376523665","0","3","0","0","0","141","0","1","0","0","0"
"152","30","47.654778394236686","-122.30832811104412","0","3","0","0","0","3030","922","0","0","0","0"
"153","10","47.65620615322288","-122.31282783595206","1","0","0","0","0","0","0","1","0","0","0"
"154","10","47.65576824017732","-122.31208649767478","0","3","0","0","0","5864","503","0","0","0","0"
"155","31","47.65577883940553","-122.30862349403199","1","3","0","87","161","1849","191","1","0","0","0"
"156","31","47.655924194993005","-122.30857564070159","1","3","0","22","0","1373","37","1","0","0","0"
"157","31","47.65572647871635","-122.30892447295061","1","3","0","82","1239","4139","469","0","0","0","0"
"158","6","47.65348734732834","-122.30639601523322","0","3","0","1218","304","44224","1566","0","0","0","0"
"159","6","47.65344995655205","-122.3062510825229","0","3","0","111","260","45983","584","0","0","0","0"
"162","14","47.653393870617286","-122.30503307842928","0","3","0","0","421","6444","2363","0","0","0","0"
"161","31","47.6560561659044","-122.30853453327548","1","3","0","0","0","690","214","1","0","0","0"
"163","24","42.44933344790472","-76.48542420682803","0","3","0","0","0","909","0","1","0","0","0"
"164","24","42.449707574873074","-76.48532461482559","0","3","0","0","0","34167","0","0","0","0","0"
"165","12","47.65432000344963","-122.3047265392149","0","3","0","0","215","538","170","1","0","0","0"
"166","12","47.654730306978976","-122.30468510739242","0","2","0","0","32160","1159","489","0","0","0","0"
"167","12","47.65448282253989","-122.30451749568853","0","2","0","0","10087","1143","419","0","0","0","0"
"168","31","47.6554578080343","-122.30886592919605","0","4","0","0","99","7689","21504","0","0","0","0"
"169","31","47.655457820394076","-122.30886597698941","0","4","0","0","99","7687","21489","0","0","0","0"
"170","31","47.65564417868249","-122.3086570598414","1","3","0","28","0","2114","668","0","0","0","0"
